"Top-line statistics from nationwide study, unweighted data"	""	""	""
"inputstate"	""	""	""
"State of Residence"	""	""	""
"id"	"inputstate"	"Frequency"	"Percent"
"1"	"Alabama"	"200"	"1.098901098901099"
"2"	"Alaska"	"200"	"1.098901098901099"
"4"	"Arizona"	"1000"	"5.4945054945054945"
"5"	"Arkansas"	"200"	"1.098901098901099"
"6"	"California"	"200"	"1.098901098901099"
"8"	"Colorado"	"200"	"1.098901098901099"
"9"	"Connecticut"	"200"	"1.098901098901099"
"10"	"Delaware"	"200"	"1.098901098901099"
"11"	"District of Columbia"	"200"	"1.098901098901099"
"12"	"Florida"	"1000"	"5.4945054945054945"
"13"	"Georgia"	"1000"	"5.4945054945054945"
"15"	"Hawaii"	"200"	"1.098901098901099"
"16"	"Idaho"	"200"	"1.098901098901099"
"17"	"Illinois"	"200"	"1.098901098901099"
"18"	"Indiana"	"200"	"1.098901098901099"
"19"	"Iowa"	"1000"	"5.4945054945054945"
"20"	"Kansas"	"200"	"1.098901098901099"
"21"	"Kentucky"	"200"	"1.098901098901099"
"22"	"Louisiana"	"200"	"1.098901098901099"
"23"	"Maine"	"200"	"1.098901098901099"
"24"	"Maryland"	"200"	"1.098901098901099"
"25"	"Massachusetts"	"200"	"1.098901098901099"
"26"	"Michigan"	"1000"	"5.4945054945054945"
"27"	"Minnesota"	"200"	"1.098901098901099"
"28"	"Mississippi"	"200"	"1.098901098901099"
"29"	"Missouri"	"200"	"1.098901098901099"
"30"	"Montana"	"200"	"1.098901098901099"
"31"	"Nebraska"	"200"	"1.098901098901099"
"32"	"Nevada"	"1000"	"5.4945054945054945"
"33"	"New Hampshire"	"200"	"1.098901098901099"
"34"	"New Jersey"	"200"	"1.098901098901099"
"35"	"New Mexico"	"200"	"1.098901098901099"
"36"	"New York"	"200"	"1.098901098901099"
"37"	"North Carolina"	"1000"	"5.4945054945054945"
"38"	"North Dakota"	"200"	"1.098901098901099"
"39"	"Ohio"	"1000"	"5.4945054945054945"
"40"	"Oklahoma"	"200"	"1.098901098901099"
"41"	"Oregon"	"200"	"1.098901098901099"
"42"	"Pennsylvania"	"1000"	"5.4945054945054945"
"44"	"Rhode Island"	"200"	"1.098901098901099"
"45"	"South Carolina"	"200"	"1.098901098901099"
"46"	"South Dakota"	"200"	"1.098901098901099"
"47"	"Tennessee"	"200"	"1.098901098901099"
"48"	"Texas"	"200"	"1.098901098901099"
"49"	"Utah"	"200"	"1.098901098901099"
"50"	"Vermont"	"200"	"1.098901098901099"
"51"	"Virginia"	"200"	"1.098901098901099"
"53"	"Washington"	"200"	"1.098901098901099"
"54"	"West Virginia"	"200"	"1.098901098901099"
"55"	"Wisconsin"	"1000"	"5.4945054945054945"
"56"	"Wyoming"	"200"	"1.098901098901099"
